name,record,height,weight,reach,stance,dob,slpm,str_ acc__%,sapm,str_ def_%,td avg.,td acc__%,td def__%,sub. avg.,cluster
Mitch Clarke,Record: 11-5-0,177.8,70.31,185.42,Orthodox,"Nov 24, 1985",2.35,34,3.27,47,0.64,15,50,0.4,1
Adriano Martins,Record: 28-9-0,177.8,70.31,182.88,Unorthodox,"Dec 16, 1982",1.8,38,2.14,65,0.83,80,81,0.4,2
Abdul-Kerim Edilov,Record: 17-4-0,187.96,92.99,192.97,Orthodox,"Nov 25, 1991",10.22,61,0.13,92,3.98,100,0,2.0,2
Bojan Mihajlovic,Record: 10-6-0,180.34,92.99,185.42,Orthodox,"Mar 30, 1980",1.23,35,5.95,47,0.0,0,33,0.0,1
Andrew Holbrook,Record: 12-3-0,180.34,70.31,177.8,Unorthodox,"Feb 06, 1986",2.2,49,3.0,54,0.85,18,10,2.1,1
Hector Sandoval,Record: 14-4-0,157.48,56.7,162.56,Orthodox,"Jul 19, 1986",3.31,52,2.33,65,3.49,25,71,1.4,2
Rafael Natal,Record: 21-9-1,182.88,83.91,195.58,Orthodox,"Dec 25, 1982",3.1,47,2.48,57,2.55,34,77,0.5,2
Damian Grabowski,Record: 20-5-0,185.42,109.32,190.5,Orthodox,"May 12, 1980",4.0,36,7.65,51,0.0,0,0,0.0,1
Chris Wade,Record: 12-3-0,177.8,70.31,177.8,Orthodox,"Sep 30, 1987",1.7,53,1.75,51,2.6,51,55,1.1,2
Frankie Perez,Record: 10-4-0,180.34,70.31,185.42,Orthodox,"May 11, 1989",1.64,41,2.17,54,1.75,41,50,0.3,2
James Mulheron,Record: 11-2-0,177.8,110.22,185.42,Orthodox,"Feb 20, 1988",2.4,31,3.47,42,0.0,0,25,0.0,1
Neil Seery,Record: 16-13-0,162.56,56.7,162.56,Orthodox,"Aug 30, 1979",3.56,41,3.79,58,0.78,27,53,1.6,4
Charlie Ward,Record: 3-3-0,180.34,77.11,184.92,Orthodox,"Dec 17, 1980",1.64,19,7.21,53,0.0,0,0,0.0,1
Leslie Smith,Record: 10-7-1,175.26,61.23,167.64,Orthodox,"Aug 17, 1982",7.56,40,8.41,51,0.0,0,62,0.0,4
Daniel Omielanczuk,Record: 19-8-1 (1 NC),182.88,112.04,187.96,Unorthodox,"Aug 31, 1982",3.09,57,3.29,47,0.56,26,68,0.1,4
Travis Browne,Record: 18-7-1,198.12,115.67,200.66,Orthodox,"Jul 17, 1982",2.93,41,4.31,42,1.21,68,75,0.2,2
Jesse Taylor,Record: 31-15-0,182.88,77.11,185.42,Orthodox,"Jan 02, 1983",1.94,65,0.55,38,7.28,50,100,3.1,2
Nick Roehrick,Record: 7-1-0,187.96,92.99,192.97,Orthodox,"Jul 06, 1987",2.31,17,6.92,44,0.0,0,0,0.0,1
Tom Gallicchio,Record: 19-10-0,177.8,77.11,182.24,Unorthodox,"Sep 23, 1986",3.53,26,7.07,43,1.0,11,0,0.0,1
Joachim Christensen,Record: 14-6-0,190.5,92.99,193.04,Orthodox,"Nov 07, 1978",3.78,41,3.29,46,0.0,0,0,0.0,1
Dennis Siver,Record: 23-11-0 (1 NC),167.64,65.77,177.8,Orthodox,"Jan 13, 1979",3.87,32,2.67,65,0.87,32,65,0.3,4
Johnny Case,Record: 22-6-0,177.8,70.31,182.88,Orthodox,"Jun 28, 1989",3.95,38,2.66,61,1.7,45,72,0.2,2
Josh Stansbury,Record: 4-8-0,187.96,92.99,187.96,Orthodox,"Nov 19, 1984",3.22,54,3.54,54,0.0,0,87,1.0,4
Dong Hyun Kim,Record: 22-4-1 (1 NC),187.96,77.11,193.04,Unorthodox,"Nov 17, 1981",2.12,49,1.89,58,2.93,43,71,0.6,2
Tarec Saffiedine,Record: 16-7-0,177.8,77.11,177.8,Unorthodox,"Sep 06, 1986",4.05,47,3.06,62,0.52,36,84,0.1,4
Kwan Ho Kwak,Record: 9-2-0,165.1,61.23,168.81,Unorthodox,"Jun 18, 1989",3.29,41,3.45,47,0.78,100,26,0.0,2
Dominique Steele,Record: 14-9-0,177.8,77.11,187.96,Orthodox,"Jan 27, 1988",2.32,49,2.42,50,2.95,42,76,0.0,2
Kiichi Kunimoto,Record: 18-7-2 (1 NC),177.8,77.11,180.34,Orthodox,"May 01, 1981",1.87,44,3.92,41,1.59,20,28,0.3,1
Jim Wallhead,Record: 29-11-0,177.8,77.11,182.24,Orthodox,"Mar 14, 1984",3.19,26,6.65,49,0.0,0,100,0.0,4
Alex Nicholson,Record: 7-4-0,193.04,83.91,195.58,Orthodox,"May 02, 1990",4.12,43,4.65,47,0.0,0,50,0.5,1
Chris Camozzi,Record: 24-13-0,187.96,83.91,190.5,Orthodox,"Nov 20, 1986",3.57,44,2.96,56,0.27,19,57,0.5,4
Reza Madadi,Record: 14-6-0,180.34,70.31,185.42,Orthodox,"Jun 20, 1978",2.51,46,3.31,66,3.17,33,89,0.5,2
Nicholas Musoke,Record: 13-5-0 (1 NC),182.88,77.11,190.5,Orthodox,"Apr 05, 1986",3.56,35,3.8,57,1.16,19,82,0.2,4
Michael McBride,Record: 8-3-0,185.42,70.31,190.29,Orthodox,"Mar 09, 1986",4.08,48,5.85,40,1.85,42,30,1.2,4
Cindy Dandois,Record: 8-3-0,170.18,61.23,174.18,Orthodox,"Oct 26, 1984",3.13,32,3.4,58,5.0,55,0,0.0,2
Joe Proctor,Record: 11-5-0,177.8,70.31,182.88,Orthodox,"Aug 10, 1985",3.39,36,3.93,59,0.0,0,70,1.8,1
Roy Nelson,Record: 22-14-0,182.88,119.29,185.42,Orthodox,"Jun 20, 1976",2.18,36,4.79,46,1.14,27,65,0.1,1
Rashid Magomedov,Record: 20-2-0,175.26,70.31,177.8,Orthodox,"Nov 29, 1984",4.4,49,3.05,54,0.67,57,89,0.2,4
Augusto Mendes,Record: 6-2-0,167.64,61.23,165.1,Orthodox,"Mar 03, 1983",2.42,34,3.91,56,1.75,33,80,0.0,4
Nathan Coy,Record: 15-7-0,177.8,77.11,175.26,Unorthodox,"Jul 24, 1978",3.88,52,2.4,61,3.17,47,50,0.0,2
Anthony Johnson,Record: 22-6-0,187.96,92.99,198.12,Orthodox,"Mar 06, 1984",3.25,47,1.83,60,2.43,57,77,0.6,2
Gegard Mousasi,Record: 42-6-2,187.96,83.91,193.04,Orthodox,"Aug 01, 1985",3.75,50,1.21,68,1.59,60,59,1.1,2
Patrick Cote,Record: 23-11-0,180.34,77.11,190.5,Orthodox,"Feb 29, 1980",2.81,48,3.21,48,0.68,20,43,0.2,1
Mike de la Torre,Record: 14-7-0 (1 NC),180.34,65.77,180.34,Orthodox,"Sep 22, 1986",3.21,39,4.75,51,0.36,16,83,0.0,4
Brad Pickett,Record: 25-14-0,167.64,61.23,172.72,Orthodox,"Sep 24, 1978",3.02,31,4.63,55,2.47,44,58,0.4,2
Scott Askham,Record: 14-4-0,190.5,83.91,190.5,Unorthodox,"May 20, 1988",3.03,46,3.52,52,0.44,18,65,0.7,4
Rony Jason,Record: 14-7-0 (1 NC),170.18,65.77,185.42,Orthodox,"Mar 21, 1984",2.04,44,3.14,53,0.59,30,36,0.8,1
Garreth McLellan,Record: 13-6-0,185.42,83.91,182.88,Unorthodox,"Sep 01, 1982",3.56,54,2.94,45,1.15,22,34,0.9,1
Sam Sicilia,Record: 15-8-0,172.72,65.77,170.18,Orthodox,"Feb 01, 1986",2.46,33,3.55,59,1.45,43,70,0.9,2
Alex Ricci,Record: 10-5-0,180.34,70.31,184.92,Orthodox,"Jul 21, 1982",2.48,41,2.53,64,0.0,0,64,0.0,1
Reginaldo Vieira,Record: 13-5-0,170.18,61.23,165.1,Orthodox,"Nov 26, 1982",3.76,40,2.89,59,1.97,27,25,0.8,2
Phillipe Nover,Record: 11-8-1,175.26,65.77,182.88,Orthodox,"Feb 03, 1984",1.79,35,2.48,56,0.99,28,44,0.7,1
Roan Carneiro,Record: 21-11-0,180.34,77.11,193.04,Orthodox,"Jun 02, 1978",1.46,46,1.82,62,3.05,42,83,1.4,2
Michinori Tanaka,Record: 11-3-0,165.1,61.23,170.18,Orthodox,"Oct 04, 1990",1.97,37,1.99,50,2.4,38,43,0.2,2
Daniel Jolly,Record: 5-3-0,185.42,92.99,190.5,Orthodox,"Sep 03, 1984",1.32,46,3.39,44,2.83,33,50,0.0,2
JC Cottrell,Record: 17-5-0,175.26,70.31,179.55,Orthodox,"Nov 04, 1989",0.79,25,2.75,45,0.79,100,50,0.0,2
Viktor Pesta,Record: 10-4-0,190.5,108.86,195.58,Orthodox,"Jul 15, 1990",1.58,36,2.54,56,3.29,28,100,0.0,2
Jocelyn Jones-Lybarger,Record: 6-4-0,170.18,52.16,162.56,Orthodox,"Oct 04, 1985",2.96,31,4.83,56,0.34,25,81,0.0,4
Ronda Rousey,Record: 12-2-0,170.18,61.23,167.64,Orthodox,"Feb 01, 1987",4.17,52,4.14,44,6.26,68,50,4.8,0
Brandon Thatch,Record: 11-5-0,187.96,77.11,187.96,Unorthodox,"Jul 11, 1985",2.7,42,3.63,52,1.36,66,50,0.7,2
Cole Miller,Record: 21-11-0 (1 NC),185.42,65.77,185.42,Orthodox,"Apr 26, 1984",3.0,33,3.88,59,0.6,36,38,1.8,1
James Moontasri,Record: 9-5-0,177.8,77.11,180.34,Unorthodox,"Apr 10, 1988",2.39,48,3.86,40,0.0,0,79,0.2,1
Takeya Mizugaki,Record: 21-11-2,170.18,61.23,175.26,Orthodox,"Dec 16, 1983",3.37,37,3.27,57,1.46,57,70,0.1,2
Fredy Serrano,Record: 3-2-0,160.02,56.7,165.1,Orthodox,"Sep 22, 1979",1.58,26,1.89,61,2.84,25,84,0.0,2
Tim Kennedy,Record: 18-6-0,180.34,83.91,187.96,Orthodox,"Sep 01, 1979",2.78,47,1.84,62,2.58,35,70,0.7,2
Valerie Letourneau,Record: 8-6-0,170.18,52.16,172.72,Orthodox,"Apr 29, 1983",4.51,37,5.4,58,0.77,45,66,0.3,4
Zach Makovsky,Record: 20-8-0,162.56,56.7,162.56,Unorthodox,"Apr 19, 1983",1.94,43,2.24,62,3.71,30,56,0.3,2
Sean O'Connell,Record: 17-9-0,185.42,92.99,187.96,Orthodox,"Sep 02, 1983",5.46,48,6.77,45,0.0,0,30,0.5,4
Joseph Gigliotti,Record: 7-2-0,180.34,83.91,184.92,Orthodox,"Aug 13, 1993",1.04,39,2.92,45,1.56,100,50,0.8,2
Tiago dos Santos e Silva,Record: 20-7-2 (1 NC),175.26,65.77,177.8,Orthodox,"Apr 12, 1987",3.69,35,4.23,59,0.63,11,33,0.3,1
Keith Berish,Record: 5-1-0 (1 NC),182.88,92.99,187.6,Orthodox,"Nov 14, 1985",3.58,36,4.81,62,1.76,40,0,0.0,1
Brendan O'Reilly,Record: 6-3-0 (1 NC),170.18,77.11,175.26,Orthodox,"Jun 24, 1987",1.9,47,2.77,39,2.22,43,36,0.6,2
Elvis Mutapcic,Record: 15-6-1,182.88,83.91,182.88,Orthodox,"Jul 19, 1986",3.41,40,4.27,38,0.0,0,81,0.0,4
Kyle Noke,Record: 22-10-1,185.42,77.11,193.04,Unorthodox,"Mar 18, 1980",3.23,50,2.09,64,1.53,54,66,0.8,2
Yusuke Kasuya,Record: 9-3-0,170.18,70.31,174.18,Unorthodox,"Nov 16, 1989",2.17,44,4.34,48,1.36,33,0,0.0,1
Seo Hee Ham,Record: 17-8-0,157.48,52.16,157.48,Unorthodox,"Mar 08, 1987",4.2,39,5.15,61,0.0,0,66,0.2,4
Jonathan Meunier,Record: 8-1-0,190.5,77.11,195.66,Unorthodox,"Aug 04, 1987",3.47,50,1.43,69,0.58,33,58,0.0,4
Richard Walsh,Record: 9-5-0,182.88,77.11,185.42,Orthodox,"Dec 01, 1988",3.84,46,2.72,58,1.55,40,66,0.2,4
Geane Herrera,Record: 9-3-0,165.1,56.7,167.64,Orthodox,"May 27, 1990",1.51,31,5.07,52,0.83,37,38,0.6,1
Guangyou Ning,Record: 5-4-1,162.56,65.77,162.56,Unorthodox,"Dec 15, 1981",2.66,41,1.91,61,1.09,50,62,0.3,2
Yao Zhikui,Record: 2-4-0,165.1,56.7,162.56,Orthodox,"Feb 07, 1991",1.44,21,2.82,48,0.66,16,58,0.0,1
Ryan Bader,Record: 23-5-0,187.96,92.99,187.96,Orthodox,"Jun 07, 1983",2.82,43,1.39,71,3.37,44,80,0.4,2
Manvel Gamburyan,Record: 15-10-0 (1 NC),165.1,61.23,170.18,Orthodox,"May 08, 1981",2.13,41,2.83,55,3.26,34,69,0.7,2
Magnus Cedenblad,Record: 14-5-0,195.58,83.91,200.66,Orthodox,"Apr 10, 1982",2.38,51,3.02,40,2.87,64,66,1.0,2
Kyoji Horiguchi,Record: 19-2-0,165.1,56.7,167.64,Orthodox,"Oct 12, 1990",3.6,45,2.45,62,2.0,44,55,0.0,2
Ali Bagautinov,Record: 15-6-0,162.56,56.7,165.1,Orthodox,"Jun 10, 1985",2.85,42,3.09,52,2.51,36,65,0.3,2
Anna Elmose,Record: 3-2-0,160.02,52.16,163.44,Orthodox,"Oct 06, 1984",3.68,49,4.64,56,0.0,0,33,0.0,1
Milana Dudieva,Record: 11-6-0,160.02,61.23,163.44,Orthodox,"Aug 04, 1989",0.87,31,3.43,58,2.34,45,0,0.0,1
Heather Clark,Record: 7-6-0,167.64,52.16,162.56,Orthodox,"Sep 19, 1980",3.69,49,5.62,50,0.33,4,80,0.3,4
Erik Perez,Record: 17-6-0,172.72,61.23,172.72,Orthodox,"Nov 19, 1989",3.16,40,2.09,66,3.16,55,69,0.2,2
Erick Montano,Record: 7-5-0,182.88,77.11,185.42,Orthodox,"Nov 19, 1985",2.79,44,2.06,64,2.29,36,66,0.0,2
Jason Novelli,Record: 11-3-1,182.88,70.31,187.6,Orthodox,"Jun 08, 1979",1.73,24,3.55,66,0.7,33,100,0.0,4
Chris Avila,Record: 5-4-0,177.8,65.77,182.24,Orthodox,"Jan 16, 1993",2.37,30,4.17,48,0.0,0,46,0.0,1
Dan Henderson,Record: 32-15-0,180.34,83.91,187.96,Orthodox,"Aug 24, 1970",2.44,47,2.7,51,1.52,52,57,0.3,2
Albert Tumenov,Record: 18-4-0,180.34,77.11,185.42,Orthodox,"Dec 26, 1991",3.76,42,3.34,58,0.2,20,75,0.0,4
Lukasz Sajewski,Record: 13-3-0,172.72,70.31,180.34,Orthodox,"Nov 27, 1990",2.06,35,3.88,57,1.01,25,66,0.0,1
Tamdan McCrory,Record: 14-5-0,193.04,83.91,193.04,Unorthodox,"Nov 05, 1986",2.07,49,1.6,46,2.28,50,33,2.5,2
Cody East,Record: 12-3-0,190.5,111.13,195.66,Orthodox,"Jun 29, 1988",4.15,43,7.32,40,3.97,100,16,0.0,2
Kelly Faszholz,Record: 4-2-0,172.72,61.23,176.87,Orthodox,"Apr 09, 1985",4.01,48,3.61,52,0.0,0,44,0.0,1
Antonio Silva,Record: 19-12-1,193.04,119.75,208.28,Orthodox,"Sep 14, 1979",2.89,45,3.09,50,0.82,29,66,0.8,1
Hector Urbina,Record: 17-10-1,180.34,77.11,185.42,Orthodox,"Sep 17, 1987",0.97,38,2.44,39,0.0,0,38,3.8,0
Glaico Franca Moreira,Record: 15-5-0,182.88,70.31,195.58,Orthodox,"Feb 28, 1991",2.35,42,3.46,47,2.68,42,76,0.3,2
Kenny Robertson,Record: 15-5-0,177.8,77.11,187.96,Orthodox,"Feb 14, 1984",3.72,47,3.02,52,1.37,26,57,0.8,4
Maximo Blanco,Record: 12-8-1 (1 NC),172.72,65.77,180.34,Orthodox,"Oct 16, 1983",4.11,44,3.19,66,1.85,36,63,0.3,4
Augusto Montano,Record: 15-3-0,185.42,77.11,185.42,Orthodox,"Oct 25, 1984",3.46,46,2.66,56,0.0,0,66,0.0,4
Leonardo Guimaraes,Record: 11-5-0 (1 NC),182.88,83.91,187.6,Orthodox,"Apr 15, 1982",2.35,56,2.99,44,0.0,0,52,1.0,1
Joey Gomez,Record: 6-2-0,177.8,61.23,185.42,Orthodox,"Jul 21, 1986",2.44,28,4.46,55,0.62,100,50,0.0,2
Caio Magalhaes,Record: 10-3-0,185.42,83.91,185.42,Orthodox,"Dec 14, 1987",2.27,40,2.78,56,1.05,15,58,1.6,1
Sean Spencer,Record: 12-6-0,177.8,77.11,187.96,Orthodox,"Jun 25, 1987",4.24,32,4.02,60,0.14,33,68,0.0,4
Josh Barnett,Record: 35-8-0,190.5,113.4,198.12,Orthodox,"Nov 10, 1977",3.2,50,2.11,57,1.26,55,55,1.4,2
Tae Hyun Bang,Record: 18-10-0,175.26,70.31,180.34,Unorthodox,"Apr 15, 1983",2.72,38,2.07,66,0.49,33,57,0.5,2
Leandro Issa,Record: 13-6-0,170.18,61.23,175.26,Orthodox,"Sep 19, 1983",2.08,37,3.17,58,2.38,22,50,1.2,2
Leandro Silva,Record: 20-6-1 (1 NC),175.26,70.31,182.88,Orthodox,"Nov 11, 1985",2.39,48,2.08,63,1.76,37,65,0.4,2
Kevin Casey,Record: 9-5-2 (2 NC),180.34,83.91,195.58,Unorthodox,"Jun 15, 1981",2.27,53,3.76,46,0.79,22,27,0.4,1
Shane Campbell,Record: 14-6-0,182.88,70.31,180.34,Orthodox,"Jan 21, 1987",3.99,59,3.19,55,1.36,28,82,0.0,4
Rick Story,Record: 19-9-0,175.26,77.11,180.34,Unorthodox,"Aug 28, 1984",3.8,41,2.17,62,2.53,48,63,0.9,2
Elizabeth Phillips,Record: 6-6-0,167.64,61.23,165.1,Orthodox,"Aug 20, 1986",2.6,33,3.07,58,0.75,25,53,0.2,1
Lorenz Larkin,Record: 18-6-0 (1 NC),180.34,77.11,182.88,Orthodox,"Sep 03, 1986",3.53,46,2.74,63,0.27,42,79,0.1,4
Alberto Uda,Record: 12-2-0,190.5,83.91,195.66,Orthodox,"Aug 08, 1984",1.79,52,3.49,45,2.83,50,66,0.0,2
Horacio Gutierrez,Record: 4-3-0,177.8,65.77,182.24,Orthodox,"Sep 15, 1990",0.86,26,2.91,46,0.0,0,50,0.0,1
Tatsuya Kawajiri,Record: 36-11-2,170.18,65.77,175.26,Orthodox,"May 08, 1978",2.04,44,2.01,50,3.63,48,63,1.1,2
Francisco Rivera,Record: 11-7-0 (1 NC),172.72,61.23,177.8,Orthodox,"Oct 08, 1981",4.07,41,3.16,68,1.01,63,68,0.6,2
Michael Graves,Record: 6-0-1,177.8,77.11,180.34,Orthodox,"Jan 08, 1991",1.25,54,1.47,58,4.8,52,66,0.4,2
Cesar Arzamendia,Record: 8-3-0,180.34,70.31,184.92,Orthodox,"Jan 31, 1991",5.37,45,5.2,56,7.32,75,0,2.4,2
Jim Alers,Record: 13-3-0 (1 NC),175.26,65.77,180.34,Orthodox,"Oct 14, 1986",2.9,40,4.38,56,2.26,41,80,0.3,2
Michael McDonald,Record: 17-4-0,175.26,61.23,177.8,Orthodox,"Jan 15, 1991",2.69,42,2.76,57,1.09,66,52,1.4,2
Josh Samman,Record: 13-4-0,190.5,83.91,200.66,Orthodox,"Mar 14, 1988",2.08,52,2.47,34,1.09,33,33,0.4,1
Cristina Stanciu,Record: 5-2-0,160.02,52.16,163.44,Orthodox,"Mar 29, 1994",2.5,50,3.07,52,0.85,100,40,1.7,2
Cody Pfister,Record: 13-6-1,177.8,70.31,185.42,Orthodox,"Jul 12, 1990",1.41,25,2.8,51,2.82,30,0,0.0,1
Brock Lesnar,Record: 5-3-0 (1 NC),190.5,120.2,205.74,Orthodox,"Jul 12, 1977",3.53,72,2.11,50,3.9,55,60,0.5,2
Enrique Marin,Record: 10-4-0,177.8,77.11,182.24,Orthodox,"Sep 02, 1986",1.43,33,3.0,50,2.5,38,60,1.0,2
Thiago Tavares,Record: 21-7-1,170.18,65.77,177.8,Orthodox,"Nov 08, 1984",2.0,40,2.31,62,3.83,42,62,1.5,2
Fernando Bruno,Record: 15-4-0,167.64,65.77,171.5,Orthodox,"Feb 24, 1982",1.75,39,1.78,48,2.02,22,56,0.5,2
Cory Hendricks,Record: 3-1-0,190.5,92.99,195.66,Unorthodox,"May 10, 1988",3.13,39,4.07,42,0.0,0,100,0.0,4
Anton Zafir,Record: 7-3-0,180.34,77.11,184.92,Orthodox,"May 10, 1987",2.99,64,2.31,52,6.11,60,0,0.0,2
Mehdi Baghdad,Record: 11-5-0,185.42,70.31,190.29,Orthodox,"Apr 13, 1985",3.13,30,4.56,46,0.0,0,33,0.0,1
Dileno Lopes,Record: 19-3-0,165.1,61.23,168.81,Orthodox,"Sep 26, 1984",2.37,36,3.33,53,2.5,31,100,1.5,2
Jerrod Sanders,Record: 16-3-0 (1 NC),172.72,61.23,182.88,Orthodox,"Oct 01, 1979",0.88,64,1.14,46,2.2,33,50,1.6,2
Rory MacDonald,Record: 19-4-0,182.88,77.11,193.04,Orthodox,"Jul 22, 1989",3.75,42,2.8,62,1.77,47,88,0.4,2
Steve Bosse,Record: 12-2-0,180.34,92.99,182.88,Orthodox,"Jul 29, 1981",5.99,52,5.38,50,0.92,33,100,0.0,4
Chris Beal,Record: 10-5-0,170.18,56.7,175.26,Orthodox,"Aug 06, 1985",3.45,35,3.18,61,1.6,58,78,0.2,2
Yan Cabral,Record: 13-3-0,180.34,70.31,185.42,Orthodox,"May 13, 1983",2.02,47,1.98,62,2.89,35,37,1.2,2
Dominic Waters,Record: 9-5-0,185.42,77.11,200.66,Orthodox,"Apr 11, 1989",0.48,23,2.53,39,4.07,52,28,0.0,2
Willie Gates,Record: 12-7-0,172.72,56.7,182.88,Orthodox,"Jan 21, 1987",1.8,38,4.28,38,0.0,0,67,0.4,1
Chris Kelades,Record: 9-3-0,170.18,56.7,172.72,Orthodox,"Feb 21, 1981",2.4,43,2.64,48,1.04,18,53,0.3,1
Clint Hester,Record: 11-6-0,187.96,92.99,195.58,Orthodox,"Nov 21, 1986",3.36,42,3.44,56,1.02,35,60,0.0,4
Efrain Escudero,Record: 28-12-0,175.26,70.31,180.34,Orthodox,"Jan 15, 1986",2.92,44,2.3,63,1.31,40,66,0.8,2
Gabriel Gonzaga,Record: 17-11-0,187.96,109.77,193.04,Orthodox,"May 18, 1979",2.12,45,2.94,57,2.8,39,66,1.1,2
Igor Pokrajac,Record: 28-13-0 (1 NC),182.88,92.99,187.96,Orthodox,"Jan 02, 1979",2.25,45,4.26,40,0.87,29,51,0.2,1
Ian Entwistle,Record: 9-3-0,165.1,61.23,168.81,Orthodox,"Nov 19, 1986",0.11,7,7.36,31,0.0,0,0,12.1,0
Filip Pejic,Record: 12-2-2,172.72,61.23,176.87,Orthodox,"Jul 21, 1992",0.0,0,0.88,33,0.0,0,0,0.0,3
Lucas Martins,Record: 19-3-0,182.88,65.77,182.88,Unorthodox,"Nov 11, 1988",2.87,35,4.14,60,0.0,0,76,0.5,1
Robert Whiteford,Record: 14-4-0,175.26,65.77,175.26,Unorthodox,"Apr 12, 1983",2.33,46,1.99,62,1.9,30,45,0.0,2
Frank Mir,Record: 18-11-0,190.5,119.75,200.66,Unorthodox,"May 24, 1979",2.18,47,3.84,38,2.02,40,54,2.0,2
James Te Huna,Record: 16-9-0,187.96,83.91,190.5,Orthodox,"Sep 29, 1981",4.04,51,2.99,62,2.75,37,58,0.2,2
Mark Eddiva,Record: 6-3-0,172.72,65.77,172.72,Orthodox,"Feb 16, 1986",3.37,45,2.98,54,1.45,22,63,0.0,4
Rin Nakai,Record: 19-2-1,154.94,61.23,158.08,Orthodox,"Oct 22, 1986",1.57,33,3.9,60,3.0,18,75,0.5,2
Viscardi Andrade,Record: 19-6-0,180.34,77.11,190.5,Orthodox,"Mar 08, 1984",3.26,42,2.77,63,1.93,50,66,0.3,2
Tom Lawlor,Record: 10-6-0 (1 NC),182.88,92.99,187.96,Unorthodox,"May 15, 1983",2.5,42,2.41,60,2.46,32,57,1.4,2
Marcelo Guimaraes,Record: 9-2-1,182.88,83.91,185.42,Orthodox,"Jun 25, 1983",4.67,51,4.41,62,1.99,13,0,0.0,1
Justin Salas,Record: 12-7-0,172.72,70.31,177.8,Unorthodox,"Mar 13, 1982",3.42,43,2.96,68,2.43,20,0,0.0,1
Mike Wilkinson,Record: 9-4-0,170.18,65.77,167.64,Orthodox,"Sep 15, 1987",2.35,38,3.7,35,0.92,14,55,0.9,1
Chris Dempsey,Record: 11-5-0,177.8,83.91,182.88,Orthodox,"Sep 08, 1987",2.25,32,2.82,65,2.64,23,16,0.0,1
Yaotzin Meza,Record: 21-11-0 (1 NC),175.26,65.77,180.34,Orthodox,"Feb 04, 1981",1.43,41,1.62,64,1.06,20,18,1.4,1
Norman Parke,Record: 23-6-1,180.34,70.31,177.8,Unorthodox,"Dec 22, 1986",3.06,35,2.88,64,1.98,26,77,0.0,2
Martin Svensson,Record: 15-6-0,185.42,70.31,190.29,Orthodox,"Apr 25, 1985",2.02,38,5.91,38,0.0,0,0,0.0,1
Joe Riggs,Record: 44-17-0 (1 NC),182.88,83.91,177.8,Unorthodox,"Sep 23, 1982",2.41,51,1.69,57,2.45,55,62,0.6,2
Daniel Sarafian,Record: 10-6-0,175.26,83.91,185.42,Orthodox,"Aug 21, 1982",2.23,46,3.1,58,0.36,7,53,0.7,1
Jonavin Webb,Record: 9-2-0 (1 NC),177.8,77.11,182.24,Orthodox,"Apr 28, 1989",1.47,30,2.27,64,2.5,31,40,1.0,2
Jared Rosholt,Record: 14-4-0,187.96,120.2,190.5,Orthodox,"Aug 04, 1986",2.08,46,1.52,59,1.83,41,66,0.1,2
Rafael Cavalcante,Record: 12-7-0 (1 NC),185.42,92.99,187.96,Orthodox,"Apr 14, 1980",2.71,53,3.62,49,0.6,40,63,0.1,4
KJ Noons,Record: 13-9-0 (1 NC),177.8,70.31,177.8,Orthodox,"Dec 07, 1982",3.68,35,3.78,65,0.08,20,68,0.0,4
Noad Lahat,Record: 11-2-0,175.26,65.77,175.26,Orthodox,"Jun 08, 1984",2.79,46,1.47,63,2.37,26,16,2.4,2
Masio Fullen,Record: 11-7-0,177.8,65.77,177.8,Orthodox,"Oct 06, 1986",2.46,32,3.5,54,0.47,33,69,0.0,1
Matt Dwyer,Record: 9-4-0,193.04,77.11,193.04,Orthodox,"Dec 17, 1989",2.57,34,3.24,54,0.44,10,60,0.0,1
Levan Makashvili,Record: 15-2-1,172.72,65.77,172.72,Orthodox,"Jan 07, 1989",2.87,54,2.07,61,3.67,42,85,0.0,2
Felipe Olivieri,Record: 14-5-0 (1 NC),175.26,70.31,179.55,Orthodox,"Apr 12, 1985",6.68,58,4.6,57,0.0,0,71,0.0,4
Matt Mitrione,Record: 12-5-0,190.5,120.2,208.28,Unorthodox,"Jul 15, 1978",3.55,50,2.79,64,0.0,0,55,0.7,1
Daron Cruickshank,Record: 18-10-0 (1 NC),172.72,70.31,182.88,Unorthodox,"Jun 11, 1985",2.88,38,2.98,57,2.04,41,60,0.2,2
Diego Brandao,Record: 22-11-0,170.18,65.77,162.56,Orthodox,"May 27, 1987",2.94,47,3.38,62,3.21,68,80,0.6,2
Tony Sims,Record: 12-4-0,180.34,70.31,177.8,Unorthodox,"Oct 14, 1985",1.81,63,0.76,65,0.71,50,50,0.7,2
Masanori Kanehara,Record: 26-12-5,170.18,61.23,170.18,Orthodox,"Nov 19, 1982",1.88,49,1.63,62,1.44,50,63,0.9,2
Sheldon Westcott,Record: 10-3-1,185.42,77.11,180.34,Unorthodox,"Aug 20, 1984",2.26,40,3.73,37,3.23,37,14,0.0,2
Edgar Garcia,Record: 14-5-0,177.8,77.11,180.34,Orthodox,"Feb 22, 1984",3.16,29,4.23,60,2.21,57,50,0.6,2
Sarah Kaufman,Record: 18-4-0 (1 NC),165.1,61.23,167.64,Orthodox,"Sep 20, 1985",6.65,46,4.0,62,0.38,57,81,0.0,4
