name,record,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,Unnamed: 11,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,url
Magnus Cedenblad,Record: 14-5-0,"6' 5""",185 lbs.,"79""",Orthodox,"Apr 10, 1982",2.38,51%,3.02,40%,,2.87,64%,66%,1.0,http://www.ufcstats.com/fighter-details/0e21976afc92e4d1
Kyoji Horiguchi,Record: 19-2-0,"5' 5""",125 lbs.,"66""",Orthodox,"Oct 12, 1990",3.6,45%,2.45,62%,,2.0,44%,55%,0.0,http://www.ufcstats.com/fighter-details/98aa60cf58071fd6
Ali Bagautinov,Record: 15-6-0,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",2.85,42%,3.09,52%,,2.51,36%,65%,0.3,http://www.ufcstats.com/fighter-details/3dd92ff9fb0412b3
Anna Elmose,Record: 3-2-0,"5' 3""",115 lbs.,--,Orthodox,"Oct 06, 1984",3.68,49%,4.64,56%,,0.0,0%,33%,0.0,http://www.ufcstats.com/fighter-details/1536a25e16fc299b
Milana Dudieva,Record: 11-6-0,"5' 3""",135 lbs.,--,Orthodox,"Aug 04, 1989",0.87,31%,3.43,58%,,2.34,45%,0%,0.0,http://www.ufcstats.com/fighter-details/072a10e85f7d4bff
Heather Clark,Record: 7-6-0,"5' 6""",115 lbs.,"64""",Orthodox,"Sep 19, 1980",3.69,49%,5.62,50%,,0.33,4%,80%,0.3,http://www.ufcstats.com/fighter-details/dd4c16777fb2ccf9
Erik Perez,Record: 17-6-0,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1989",3.16,40%,2.09,66%,,3.16,55%,69%,0.2,http://www.ufcstats.com/fighter-details/af62f99eb7606308
Erick Montano,Record: 7-5-0,"6' 0""",170 lbs.,"73""",Orthodox,"Nov 19, 1985",2.79,44%,2.06,64%,,2.29,36%,66%,0.0,http://www.ufcstats.com/fighter-details/8163cd7de0342652
Jason Novelli,Record: 11-3-1,"6' 0""",155 lbs.,--,Orthodox,"Jun 08, 1979",1.73,24%,3.55,66%,,0.7,33%,100%,0.0,http://www.ufcstats.com/fighter-details/459e4dc69ec669b2
Chris Avila,Record: 5-4-0,"5' 10""",145 lbs.,--,Orthodox,"Jan 16, 1993",2.37,30%,4.17,48%,,0.0,0%,46%,0.0,http://www.ufcstats.com/fighter-details/4665cbf36b08193b
Dan Henderson,Record: 32-15-0,"5' 11""",185 lbs.,"74""",Orthodox,"Aug 24, 1970",2.44,47%,2.7,51%,,1.52,52%,57%,0.3,http://www.ufcstats.com/fighter-details/1ccf4e7caff270df
Albert Tumenov,Record: 18-4-0,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991",3.76,42%,3.34,58%,,0.2,20%,75%,0.0,http://www.ufcstats.com/fighter-details/ff6a1f63c254127e
Lukasz Sajewski,Record: 13-3-0,"5' 8""",155 lbs.,"71""",Orthodox,"Nov 27, 1990",2.06,35%,3.88,57%,,1.01,25%,66%,0.0,http://www.ufcstats.com/fighter-details/fb41432b622992a9
Tamdan McCrory,Record: 14-5-0,"6' 4""",185 lbs.,"76""",Switch,"Nov 05, 1986",2.07,49%,1.6,46%,,2.28,50%,33%,2.5,http://www.ufcstats.com/fighter-details/eff47295daf721a6
Cody East,Record: 12-3-0,"6' 3""",245 lbs.,--,Orthodox,"Jun 29, 1988",4.15,43%,7.32,40%,,3.97,100%,16%,0.0,http://www.ufcstats.com/fighter-details/5713c1d2fac539ac
Kelly Faszholz,Record: 4-2-0,"5' 8""",135 lbs.,--,Orthodox,"Apr 09, 1985",4.01,48%,3.61,52%,,0.0,0%,44%,0.0,http://www.ufcstats.com/fighter-details/9c42a0de8e012870
Antonio Silva,Record: 19-12-1,"6' 4""",264 lbs.,"82""",Orthodox,"Sep 14, 1979",2.89,45%,3.09,50%,,0.82,29%,66%,0.8,http://www.ufcstats.com/fighter-details/8349d55cdecd393a
Hector Urbina,Record: 17-10-1,"5' 11""",170 lbs.,"73""",Orthodox,"Sep 17, 1987",0.97,38%,2.44,39%,,0.0,0%,38%,3.8,http://www.ufcstats.com/fighter-details/4b8fb0453a596b8e
Glaico Franca Moreira,Record: 15-5-0,"6' 0""",155 lbs.,"77""",Orthodox,"Feb 28, 1991",2.35,42%,3.46,47%,,2.68,42%,76%,0.3,http://www.ufcstats.com/fighter-details/00a3ff40c4b2cf21
Kenny Robertson,Record: 15-5-0,"5' 10""",170 lbs.,"74""",Orthodox,"Feb 14, 1984",3.72,47%,3.02,52%,,1.37,26%,57%,0.8,http://www.ufcstats.com/fighter-details/6e0273f9478be71e
Maximo Blanco,Record: 12-8-1 (1 NC),"5' 8""",145 lbs.,"71""",Orthodox,"Oct 16, 1983",4.11,44%,3.19,66%,,1.85,36%,63%,0.3,http://www.ufcstats.com/fighter-details/4a1329cc8eb0928a
Augusto Montano,Record: 15-3-0,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 25, 1984",3.46,46%,2.66,56%,,0.0,0%,66%,0.0,http://www.ufcstats.com/fighter-details/94508d80e1f885fc
Leonardo Guimaraes,Record: 11-5-0 (1 NC),"6' 0""",185 lbs.,--,Orthodox,"Apr 15, 1982",2.35,56%,2.99,44%,,0.0,0%,52%,1.0,http://www.ufcstats.com/fighter-details/cc98d857b148e33a
Joey Gomez,Record: 6-2-0,"5' 10""",135 lbs.,"73""",Orthodox,"Jul 21, 1986",2.44,28%,4.46,55%,,0.62,100%,50%,0.0,http://www.ufcstats.com/fighter-details/0778f94eb5d588a5
Caio Magalhaes,Record: 10-3-0,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987",2.27,40%,2.78,56%,,1.05,15%,58%,1.6,http://www.ufcstats.com/fighter-details/0c5c66ddd1886b83
Sean Spencer,Record: 12-6-0,"5' 10""",170 lbs.,"74""",Orthodox,"Jun 25, 1987",4.24,32%,4.02,60%,,0.14,33%,68%,0.0,http://www.ufcstats.com/fighter-details/ab850a77a0fa487d
Josh Barnett,Record: 35-8-0,"6' 3""",250 lbs.,"78""",Orthodox,"Nov 10, 1977",3.2,50%,2.11,57%,,1.26,55%,55%,1.4,http://www.ufcstats.com/fighter-details/ad3f53c454cbbead
Tae Hyun Bang,Record: 18-10-0,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983",2.72,38%,2.07,66%,,0.49,33%,57%,0.5,http://www.ufcstats.com/fighter-details/9a2d3567abc02e34
Leandro Issa,Record: 13-6-0,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 19, 1983",2.08,37%,3.17,58%,,2.38,22%,50%,1.2,http://www.ufcstats.com/fighter-details/d1e1fdcea7c8a90a
Leandro Silva,Record: 20-6-1 (1 NC),"5' 9""",155 lbs.,"72""",Orthodox,"Nov 11, 1985",2.39,48%,2.08,63%,,1.76,37%,65%,0.4,http://www.ufcstats.com/fighter-details/159da492e000afbf
Kevin Casey,Record: 9-5-2 (2 NC),"5' 11""",185 lbs.,"77""",Southpaw,"Jun 15, 1981",2.27,53%,3.76,46%,,0.79,22%,27%,0.4,http://www.ufcstats.com/fighter-details/8d9586726252dbf7
Shane Campbell,Record: 14-6-0,"6' 0""",155 lbs.,"71""",Orthodox,"Jan 21, 1987",3.99,59%,3.19,55%,,1.36,28%,82%,0.0,http://www.ufcstats.com/fighter-details/784285b7ae7dd85f
Rick Story,Record: 19-9-0,"5' 9""",170 lbs.,"71""",Southpaw,"Aug 28, 1984",3.8,41%,2.17,62%,,2.53,48%,63%,0.9,http://www.ufcstats.com/fighter-details/5b5307450405abf0
Elizabeth Phillips,Record: 6-6-0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 20, 1986",2.6,33%,3.07,58%,,0.75,25%,53%,0.2,http://www.ufcstats.com/fighter-details/dcbf01d605681ad1
Lorenz Larkin,Record: 18-6-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986",3.53,46%,2.74,63%,,0.27,42%,79%,0.1,http://www.ufcstats.com/fighter-details/9450848a71d53776
Alberto Uda,Record: 12-2-0,"6' 3""",185 lbs.,--,Orthodox,"Aug 08, 1984",1.79,52%,3.49,45%,,2.83,50%,66%,0.0,http://www.ufcstats.com/fighter-details/8f2deefe8c5dfb5d
Horacio Gutierrez,Record: 4-3-0,"5' 10""",145 lbs.,--,,"Sep 15, 1990",0.86,26%,2.91,46%,,0.0,0%,50%,0.0,http://www.ufcstats.com/fighter-details/cd85b48dc880fabd
Tatsuya Kawajiri,Record: 36-11-2,"5' 7""",145 lbs.,"69""",Orthodox,"May 08, 1978",2.04,44%,2.01,50%,,3.63,48%,63%,1.1,http://www.ufcstats.com/fighter-details/80d918336163b80c
Francisco Rivera,Record: 11-7-0 (1 NC),"5' 8""",135 lbs.,"70""",Orthodox,"Oct 08, 1981",4.07,41%,3.16,68%,,1.01,63%,68%,0.6,http://www.ufcstats.com/fighter-details/7ea4a9f07df33a45
Michael Graves,Record: 6-0-1,"5' 10""",170 lbs.,"71""",Orthodox,"Jan 08, 1991",1.25,54%,1.47,58%,,4.8,52%,66%,0.4,http://www.ufcstats.com/fighter-details/3f1d23b01c552a13
Cesar Arzamendia,Record: 8-3-0,"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991",5.37,45%,5.2,56%,,7.32,75%,0%,2.4,http://www.ufcstats.com/fighter-details/49f78022126bf4a4
Jim Alers,Record: 13-3-0 (1 NC),"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.9,40%,4.38,56%,,2.26,41%,80%,0.3,http://www.ufcstats.com/fighter-details/fe5a9547479396ab
Michael McDonald,Record: 17-4-0,"5' 9""",135 lbs.,"70""",Orthodox,"Jan 15, 1991",2.69,42%,2.76,57%,,1.09,66%,52%,1.4,http://www.ufcstats.com/fighter-details/d0314416a7f26527
Josh Samman,Record: 13-4-0,"6' 3""",185 lbs.,"79""",Orthodox,"Mar 14, 1988",2.08,52%,2.47,34%,,1.09,33%,33%,0.4,http://www.ufcstats.com/fighter-details/9deff9e3e8d94d47
Cristina Stanciu,Record: 5-2-0,"5' 3""",115 lbs.,--,Orthodox,"Mar 29, 1994",2.5,50%,3.07,52%,,0.85,100%,40%,1.7,http://www.ufcstats.com/fighter-details/175852708cb55776
Cody Pfister,Record: 13-6-1,"5' 10""",155 lbs.,"73""",Orthodox,"Jul 12, 1990",1.41,25%,2.8,51%,,2.82,30%,0%,0.0,http://www.ufcstats.com/fighter-details/5904b0b38dc6718d
Brock Lesnar,Record: 5-3-0 (1 NC),"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977",3.53,72%,2.11,50%,,3.9,55%,60%,0.5,http://www.ufcstats.com/fighter-details/513c6f1715e547a8
Enrique Marin,Record: 10-4-0,"5' 10""",170 lbs.,--,,"Sep 02, 1986",1.43,33%,3.0,50%,,2.5,38%,60%,1.0,http://www.ufcstats.com/fighter-details/23a6e307077c6ccc
Thiago Tavares,Record: 21-7-1,"5' 7""",145 lbs.,"70""",Orthodox,"Nov 08, 1984",2.0,40%,2.31,62%,,3.83,42%,62%,1.5,http://www.ufcstats.com/fighter-details/8a59d346dc976a10
Fernando Bruno,Record: 15-4-0,"5' 6""",145 lbs.,--,,"Feb 24, 1982",1.75,39%,1.78,48%,,2.02,22%,56%,0.5,http://www.ufcstats.com/fighter-details/b8c0f30ee9a98b69
Cory Hendricks,Record: 3-1-0,"6' 3""",205 lbs.,--,Switch,"May 10, 1988",3.13,39%,4.07,42%,,0.0,0%,100%,0.0,http://www.ufcstats.com/fighter-details/9ab9912e0f8fa6d6
Anton Zafir,Record: 7-3-0,"5' 11""",170 lbs.,--,Orthodox,"May 10, 1987",2.99,64%,2.31,52%,,6.11,60%,0%,0.0,http://www.ufcstats.com/fighter-details/8c822811eedc11ad
Mehdi Baghdad,Record: 11-5-0,"6' 1""",155 lbs.,--,Orthodox,"Apr 13, 1985",3.13,30%,4.56,46%,,0.0,0%,33%,0.0,http://www.ufcstats.com/fighter-details/e4d2564ea0e34e2b
Dileno Lopes,Record: 19-3-0,"5' 5""",135 lbs.,--,,"Sep 26, 1984",2.37,36%,3.33,53%,,2.5,31%,100%,1.5,http://www.ufcstats.com/fighter-details/8270c00fae24c922
Jerrod Sanders,Record: 16-3-0 (1 NC),"5' 8""",135 lbs.,"72""",Orthodox,"Oct 01, 1979",0.88,64%,1.14,46%,,2.2,33%,50%,1.6,http://www.ufcstats.com/fighter-details/12f1b140e248bdb9
Rory MacDonald,Record: 19-4-0,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989",3.75,42%,2.8,62%,,1.77,47%,88%,0.4,http://www.ufcstats.com/fighter-details/cbd5d3cdd862e90e
Steve Bosse,Record: 12-2-0,"5' 11""",205 lbs.,"72""",Orthodox,"Jul 29, 1981",5.99,52%,5.38,50%,,0.92,33%,100%,0.0,http://www.ufcstats.com/fighter-details/e023fa2e648ea0f1
Chris Beal,Record: 10-5-0,"5' 7""",125 lbs.,"69""",Orthodox,"Aug 06, 1985",3.45,35%,3.18,61%,,1.6,58%,78%,0.2,http://www.ufcstats.com/fighter-details/55f446032177b119
Yan Cabral,Record: 13-3-0,"5' 11""",155 lbs.,"73""",Orthodox,"May 13, 1983",2.02,47%,1.98,62%,,2.89,35%,37%,1.2,http://www.ufcstats.com/fighter-details/7cdd3e5d3aa9cb39
Dominic Waters,Record: 9-5-0,"6' 1""",170 lbs.,"79""",Orthodox,"Apr 11, 1989",0.48,23%,2.53,39%,,4.07,52%,28%,0.0,http://www.ufcstats.com/fighter-details/2de91c2244ad7e89
Willie Gates,Record: 12-7-0,"5' 8""",125 lbs.,"72""",Orthodox,"Jan 21, 1987",1.8,38%,4.28,38%,,0.0,0%,67%,0.4,http://www.ufcstats.com/fighter-details/6ded9184b2284645
Chris Kelades,Record: 9-3-0,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 21, 1981",2.4,43%,2.64,48%,,1.04,18%,53%,0.3,http://www.ufcstats.com/fighter-details/56c9acc4e86046a2
Clint Hester,Record: 11-6-0,"6' 2""",205 lbs.,"77""",Orthodox,"Nov 21, 1986",3.36,42%,3.44,56%,,1.02,35%,60%,0.0,http://www.ufcstats.com/fighter-details/92b62174c175ce19
Efrain Escudero,Record: 28-12-0,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986",2.92,44%,2.3,63%,,1.31,40%,66%,0.8,http://www.ufcstats.com/fighter-details/83fd97284f4bb4a4
Gabriel Gonzaga,Record: 17-11-0,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979",2.12,45%,2.94,57%,,2.8,39%,66%,1.1,http://www.ufcstats.com/fighter-details/270b89c00ef0c55c
Igor Pokrajac,Record: 28-13-0 (1 NC),"6' 0""",205 lbs.,"74""",Orthodox,"Jan 02, 1979",2.25,45%,4.26,40%,,0.87,29%,51%,0.2,http://www.ufcstats.com/fighter-details/53278852bcd91e11
Ian Entwistle,Record: 9-3-0,"5' 5""",135 lbs.,--,Orthodox,"Nov 19, 1986",0.11,7%,7.36,31%,,0.0,0%,0%,12.1,http://www.ufcstats.com/fighter-details/d7adfcfdf7c6c1f8
Filip Pejic,Record: 12-2-2,"5' 8""",135 lbs.,--,Orthodox,"Jul 21, 1992",0.0,0%,0.88,33%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/38ed5a2299230227
Lucas Martins,Record: 19-3-0,"6' 0""",145 lbs.,"72""",Southpaw,"Nov 11, 1988",2.87,35%,4.14,60%,,0.0,0%,76%,0.5,http://www.ufcstats.com/fighter-details/7413b80dbb0f8f9f
Robert Whiteford,Record: 14-4-0,"5' 9""",145 lbs.,"69""",Southpaw,"Apr 12, 1983",2.33,46%,1.99,62%,,1.9,30%,45%,0.0,http://www.ufcstats.com/fighter-details/1dafccb62a0f98ec
Frank Mir,Record: 18-11-0,"6' 3""",264 lbs.,"79""",Southpaw,"May 24, 1979",2.18,47%,3.84,38%,,2.02,40%,54%,2.0,http://www.ufcstats.com/fighter-details/1ff9589f9065a9ed
James Te Huna,Record: 16-9-0,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 29, 1981",4.04,51%,2.99,62%,,2.75,37%,58%,0.2,http://www.ufcstats.com/fighter-details/f5431394fb284bb9
Mark Eddiva,Record: 6-3-0,"5' 8""",145 lbs.,"68""",Orthodox,"Feb 16, 1986",3.37,45%,2.98,54%,,1.45,22%,63%,0.0,http://www.ufcstats.com/fighter-details/40ff198adda94b9f
Rin Nakai,Record: 19-2-1,"5' 1""",135 lbs.,--,Orthodox,"Oct 22, 1986",1.57,33%,3.9,60%,,3.0,18%,75%,0.5,http://www.ufcstats.com/fighter-details/f9ae6914f604aa9f
Viscardi Andrade,Record: 19-6-0,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,42%,2.77,63%,,1.93,50%,66%,0.3,http://www.ufcstats.com/fighter-details/d221ee27afc7a60e
Tom Lawlor,Record: 10-6-0 (1 NC),"6' 0""",205 lbs.,"74""",Southpaw,"May 15, 1983",2.5,42%,2.41,60%,,2.46,32%,57%,1.4,http://www.ufcstats.com/fighter-details/4d44f37107f01b9b
Marcelo Guimaraes,Record: 9-2-1,"6' 0""",185 lbs.,"73""",Orthodox,"Jun 25, 1983",4.67,51%,4.41,62%,,1.99,13%,0%,0.0,http://www.ufcstats.com/fighter-details/0c9c0a43d3f3f49d
Justin Salas,Record: 12-7-0,"5' 8""",155 lbs.,"70""",Southpaw,"Mar 13, 1982",3.42,43%,2.96,68%,,2.43,20%,0%,0.0,http://www.ufcstats.com/fighter-details/9b198c73e3d0d289
Mike Wilkinson,Record: 9-4-0,"5' 7""",145 lbs.,"66""",Orthodox,"Sep 15, 1987",2.35,38%,3.7,35%,,0.92,14%,55%,0.9,http://www.ufcstats.com/fighter-details/cfaf010d5b389c09
Chris Dempsey,Record: 11-5-0,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987",2.25,32%,2.82,65%,,2.64,23%,16%,0.0,http://www.ufcstats.com/fighter-details/dfae5da5676e4194
Yaotzin Meza,Record: 21-11-0 (1 NC),"5' 9""",145 lbs.,"71""",Orthodox,"Feb 04, 1981",1.43,41%,1.62,64%,,1.06,20%,18%,1.4,http://www.ufcstats.com/fighter-details/3623bd267a2eef2e
Norman Parke,Record: 23-6-1,"5' 11""",155 lbs.,"70""",Southpaw,"Dec 22, 1986",3.06,35%,2.88,64%,,1.98,26%,77%,0.0,http://www.ufcstats.com/fighter-details/14ff46596ad80609
Martin Svensson,Record: 15-6-0,"6' 1""",155 lbs.,--,,"Apr 25, 1985",2.02,38%,5.91,38%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/bcad7223af3c19da
Joe Riggs,Record: 44-17-0 (1 NC),"6' 0""",185 lbs.,"70""",Southpaw,"Sep 23, 1982",2.41,51%,1.69,57%,,2.45,55%,62%,0.6,http://www.ufcstats.com/fighter-details/d512d9f204059f57
Daniel Sarafian,Record: 10-6-0,"5' 9""",185 lbs.,"73""",Orthodox,"Aug 21, 1982",2.23,46%,3.1,58%,,0.36,7%,53%,0.7,http://www.ufcstats.com/fighter-details/7e47047d0971d566
Jonavin Webb,Record: 9-2-0 (1 NC),"5' 10""",170 lbs.,--,Orthodox,"Apr 28, 1989",1.47,30%,2.27,64%,,2.5,31%,40%,1.0,http://www.ufcstats.com/fighter-details/f40ec51dd4de47c3
Jared Rosholt,Record: 14-4-0,"6' 2""",265 lbs.,"75""",Orthodox,"Aug 04, 1986",2.08,46%,1.52,59%,,1.83,41%,66%,0.1,http://www.ufcstats.com/fighter-details/91ea901c458e95dd
Rafael Cavalcante,Record: 12-7-0 (1 NC),"6' 1""",205 lbs.,"74""",Orthodox,"Apr 14, 1980",2.71,53%,3.62,49%,,0.6,40%,63%,0.1,http://www.ufcstats.com/fighter-details/5c1ca0c72b599a3c
KJ Noons,Record: 13-9-0 (1 NC),"5' 10""",155 lbs.,"70""",Orthodox,"Dec 07, 1982",3.68,35%,3.78,65%,,0.08,20%,68%,0.0,http://www.ufcstats.com/fighter-details/b7ffa72aa148599a
Noad Lahat,Record: 11-2-0,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984",2.79,46%,1.47,63%,,2.37,26%,16%,2.4,http://www.ufcstats.com/fighter-details/9f755fb04cc21499
Masio Fullen,Record: 11-7-0,"5' 10""",145 lbs.,"70""",Orthodox,"Oct 06, 1986",2.46,32%,3.5,54%,,0.47,33%,69%,0.0,http://www.ufcstats.com/fighter-details/4638cc6479cc0afe
Matt Dwyer,Record: 9-4-0,"6' 4""",170 lbs.,"76""",Orthodox,"Dec 17, 1989",2.57,34%,3.24,54%,,0.44,10%,60%,0.0,http://www.ufcstats.com/fighter-details/8f0d576beba1cfcd
Levan Makashvili,Record: 15-2-1,"5' 8""",145 lbs.,"68""",Orthodox,"Jan 07, 1989",2.87,54%,2.07,61%,,3.67,42%,85%,0.0,http://www.ufcstats.com/fighter-details/938ad489fb7a1f31
Felipe Olivieri,Record: 14-5-0 (1 NC),"5' 9""",155 lbs.,--,Orthodox,"Apr 12, 1985",6.68,58%,4.6,57%,,0.0,0%,71%,0.0,http://www.ufcstats.com/fighter-details/948880beac71f028
Matt Mitrione,Record: 12-5-0,"6' 3""",265 lbs.,"82""",Switch,"Jul 15, 1978",3.55,50%,2.79,64%,,0.0,0%,55%,0.7,http://www.ufcstats.com/fighter-details/ba280572acfba13f
Daron Cruickshank,Record: 18-10-0 (1 NC),"5' 8""",155 lbs.,"72""",Switch,"Jun 11, 1985",2.88,38%,2.98,57%,,2.04,41%,60%,0.2,http://www.ufcstats.com/fighter-details/5f99b2bafb10305f
Diego Brandao,Record: 22-11-0,"5' 7""",145 lbs.,"64""",Orthodox,"May 27, 1987",2.94,47%,3.38,62%,,3.21,68%,80%,0.6,http://www.ufcstats.com/fighter-details/c2e3e67b5911bfb7
Tony Sims,Record: 12-4-0,"5' 11""",155 lbs.,"70""",Southpaw,"Oct 14, 1985",1.81,63%,0.76,65%,,0.71,50%,50%,0.7,http://www.ufcstats.com/fighter-details/57bad6a84230f0c9
Masanori Kanehara,Record: 26-12-5,"5' 7""",135 lbs.,"67""",Orthodox,"Nov 19, 1982",1.88,49%,1.63,62%,,1.44,50%,63%,0.9,http://www.ufcstats.com/fighter-details/f3a078277b3b8ff4
Sheldon Westcott,Record: 10-3-1,"6' 1""",170 lbs.,"71""",Southpaw,"Aug 20, 1984",2.26,40%,3.73,37%,,3.23,37%,14%,0.0,http://www.ufcstats.com/fighter-details/ec2d13a87d3d9541
Edgar Garcia,Record: 14-5-0,"5' 10""",170 lbs.,"71""",Orthodox,"Feb 22, 1984",3.16,29%,4.23,60%,,2.21,57%,50%,0.6,http://www.ufcstats.com/fighter-details/8d49545dadf9b919
Sarah Kaufman,Record: 18-4-0 (1 NC),"5' 5""",135 lbs.,"66""",Orthodox,"Sep 20, 1985",6.65,46%,4.0,62%,,0.38,57%,81%,0.0,http://www.ufcstats.com/fighter-details/36df8e119aec6175
Danny Castillo,Record: 17-10-0,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1979",2.57,42%,1.96,62%,,2.95,38%,63%,0.2,http://www.ufcstats.com/fighter-details/d1e7fc58d4225cdf
Hayder Hassan,Record: 6-3-0,"5' 10""",170 lbs.,--,,"Oct 20, 1982",2.11,46%,3.16,48%,,0.0,0%,25%,0.0,http://www.ufcstats.com/fighter-details/cf615eb4b7862c76
Marcio Alexandre Junior,Record: 17-4-0,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,45%,2.89,42%,,0.35,20%,66%,0.7,http://www.ufcstats.com/fighter-details/d53482bef23235ba
Marcin Wrzosek,Record: 12-4-0,"5' 9""",155 lbs.,--,,"Oct 14, 1987",3.47,43%,4.07,43%,,3.0,25%,33%,0.0,http://www.ufcstats.com/fighter-details/aac6edb0d5e0b7e9
Konstantin Erokhin,Record: 9-3-0,"5' 11""",230 lbs.,--,Orthodox,"Jan 31, 1983",1.07,36%,1.83,47%,,0.0,0%,70%,0.0,http://www.ufcstats.com/fighter-details/22061ff217907c78
Mike Pierce,Record: 17-7-0,"5' 8""",170 lbs.,"71""",Orthodox,"Sep 01, 1980",2.62,42%,2.36,62%,,3.08,42%,71%,0.2,http://www.ufcstats.com/fighter-details/236a37d96d476164
Abner Lloveras,Record: 20-9-1,"5' 11""",155 lbs.,--,,"Sep 04, 1982",6.27,49%,6.87,43%,,2.0,20%,0%,0.0,http://www.ufcstats.com/fighter-details/6448e57a9533b7e4
John Howard,Record: 24-13-0,"5' 7""",170 lbs.,"72""",Orthodox,"Mar 01, 1983",2.15,50%,3.08,51%,,2.7,49%,53%,0.4,http://www.ufcstats.com/fighter-details/fc31f896cde2bc2e
Andreas Stahl,Record: 10-4-0,"5' 11""",170 lbs.,--,Orthodox,"May 20, 1988",2.83,37%,4.74,57%,,1.55,66%,80%,0.0,http://www.ufcstats.com/fighter-details/69a400af4420cd6a
Emily Kagan,Record: 3-3-0,"5' 3""",115 lbs.,--,,"Jul 14, 1981",2.6,36%,5.29,38%,,1.86,14%,50%,0.0,http://www.ufcstats.com/fighter-details/c1ea9d56cd953586
Benson Henderson,Record: 24-7-0,"5' 9""",170 lbs.,"70""",Southpaw,"Nov 16, 1983",2.93,45%,1.79,63%,,2.4,45%,63%,0.8,http://www.ufcstats.com/fighter-details/2676b28836a5a836
Yoshihiro Akiyama,Record: 14-6-0 (2 NC),"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.1,41%,3.62,57%,,2.29,67%,92%,1.0,http://www.ufcstats.com/fighter-details/b0550072e5f0afa7
Dongi Yang,Record: 13-3-0,"5' 10""",185 lbs.,"73""",Southpaw,"Dec 07, 1984",3.55,51%,3.21,63%,,1.7,41%,61%,0.5,http://www.ufcstats.com/fighter-details/aed06011bf62237b
Yui Chul Nam,Record: 18-8-1,"5' 9""",145 lbs.,--,Orthodox,"Jul 16, 1981",3.53,51%,2.0,48%,,1.33,16%,57%,0.3,http://www.ufcstats.com/fighter-details/a00ec21cfbba17b6
Leo Kuntz,Record: 18-4-1,"5' 10""",155 lbs.,--,Orthodox,"Oct 03, 1983",1.68,32%,3.8,45%,,1.99,25%,33%,0.7,http://www.ufcstats.com/fighter-details/6905d45bd71b50a9
Scott Jorgensen,Record: 15-12-0,"5' 5""",135 lbs.,"66""",Orthodox,"Sep 17, 1982",3.37,40%,3.41,65%,,2.61,45%,59%,0.7,http://www.ufcstats.com/fighter-details/0b64d0fed453ef7f
Vernon Ramos Ho,Record: 3-1-0,"5' 6""",170 lbs.,--,Orthodox,"Jun 03, 1992",4.0,25%,8.0,55%,,0.0,0%,0%,0.0,http://www.ufcstats.com/fighter-details/30b577b112bef42d
Valmir Lazaro,Record: 15-5-0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 15, 1985",4.87,37%,4.09,61%,,1.33,40%,96%,0.0,http://www.ufcstats.com/fighter-details/777dea713da2441d
Akbarh Arreola,Record: 23-11-1,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,45%,4.01,56%,,1.07,100%,33%,0.4,http://www.ufcstats.com/fighter-details/c136b2a8852da5bd
Anthony Perosh,Record: 15-10-0,"6' 3""",205 lbs.,"75""",Orthodox,"Oct 05, 1972",2.27,43%,3.77,53%,,2.03,22%,33%,1.1,http://www.ufcstats.com/fighter-details/4b4753d19489297f
Danny Martinez,Record: 21-8-0,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 14, 1985",2.73,28%,3.77,63%,,3.0,45%,36%,0.0,http://www.ufcstats.com/fighter-details/8a9c6c4301f6d088
